"Language of resource
(if not Czech)",ISBN,Title,Subtitle,Statement of Responsibility,Parallel title (dual language only),Parallel subtitle (dual language only),Edition statement,Place of publication,"Country of publication 
(if not Czech Republic)",Publisher name,Date of publication,Copyright date,Pagination,Size,Series title,Series enumeration,Note,Barcode 
,,"Ruce vzhůru, Veroniko!",,Eva Jelínková,,,První vydání,České Budějovice,,Nakladatelství České Budějovice,1967,,126 pages,21 cm,,,,606814606
,9788086370507,"O české literatuře, kritice a historii",,Jan Strakoš,,,,Praha ,,Jan Majcher - Cherm,2012,©2012,492 pages,22 cm,,,,606814607
,9788072942923,"Národy starověké Itálie, jejich jazyky a písma",,"Daniela Urbanová, Václav Blažek",,,První vydání,Brno,,"Host - vydavatelství, s.r.o.",2008,©2008,296 pages,23 cm,,,Includes index,606814608
,8072772783,Moderna a historismus,Historické reprezentace v proměnách literatury na přelomu devatenáctého a dvacátého století,Lenka Řezníková,,,První vydání,Praha 5,,Libri,2004,©2004,351 pages,21 cm,,,Includes index,606814609
,8085608944,Židovská menšina v Československu ve třicátých letech,Sborník přednášek z cyklu ve Vzdělávacím a kulturním centru Židovského muzea v Praze v říjnu 2003 až červnu 2004,"Miloš Pojar, Blanka Soukupová, Marie Zahradníková",,,,Praha,,Židovské muzeum v Praze,2004,©2004,122 pages + 16 unnumbered plates ,21 cm ,,,,606814610
,9788072392087,Nezapomenuté historie,Františku Svátkovi k sedmdesátinám,"Zbyněk Machát, Ondřej Slačálek, Milan Znoj",,,První vydání,Brno,,Doplněk,2007,©2006,327 pages,21 cm,,,,606814611
,,Dialog s doktorem Dongem,neskutečný cestopis,Josef Nesvadba,,,První vydání,Praha,,Československý spisovatel,1964,©1964,156 pages,21 cm,,,,606814612
,,"Střepiny, o které jsem se sám pořezal",,Kamil Bednář,,,První vydání,Praha,,Československý spisovatel,1969,©1969,180 pages,21 cm,,,,606814613
,8086346048,Fenomenologie humoru,aneb jak filozofovat smíchem,Radko Pytlík,,,,,,Emporius,2000,©2000,119 pages,23 cm,,,,606814614
,,Ztráty a nálezy,,Adolf Branald,,,Třetí vydání,Praha,,Československý spisovatel,1964,©1961,316 pages,21 cm,,,,606814615
,8090202403,Viděno jinak,"prokletí, zapomínaní a přehlédnutí autoři české literatury",Ivan Slavík,,,První vydání,Brno,,Vetus Via,1995,©1995,208 pages,19 cm,,,,606814616
,,Moje kronika,edice vzpomínky a korespondence,Eduard Bass,,,První vydání,Praha,,Československý spisovatel,1985,©1985,320 pages,21 cm,,,Includes index,606814617
,9788086142401,Jus suffragii,politické projevy Boženy Vikové-Kunětické z let 1890-1926,"Libuše Heczková, Kateřina Svatoňová",,,,Praha,,"Ústav T.G. Masaryka, o.p.s.",2012,©2012,331 pages ,22 cm,,,Includes index,606814618
,,Proč mlčí živí,,Františka Pecháčková,,,První vydání,Praha,,Mladá fronta,1957,,336 pages,21 cm,,,Pynsent's annotations,606814619
,9788020713377,Nebe nemá dno,,Hana Andronikova,,,První vydání,Praha 5,,Odeon,2010,©2010,296 pages,21 cm,,,Pynsent's annotations,606814620
,,Alkohol v sociálním románu,,Antonín Mareš,,,,Praha,,Sdružení abstinentů socialistů v ČSR,1935,,23 pages,24 cm,,,,606814621
,,Klopýtání po bouři,,Luděk Šnepp,,,První vydání,Praha,,Mladá fronta,1963,©1963,151 pages,21 cm,,,Pynsent's annotations,606814622
